"genre","year","budget","gross","number","score","runtime"
"Action",1980,17909090.9090909,84869927.5454545,11,6.31818181818182,116.090909090909
"Action",1981,13576923.0769231,52786208.5384615,13,6.60769230769231,106.538461538462
"Action",1982,11846666.6666667,37089656.2,15,6.32,106
"Action",1983,15371761.9047619,48705777.7142857,21,6.04761904761905,106.47619047619
"Action",1984,15719565.2173913,69384279.6521739,23,6.43478260869565,107.608695652174
"Action",1985,15304583.3333333,32889642.4583333,24,6.30833333333333,107.916666666667
"Action",1986,15089702.6206897,43353508.3793103,29,5.83793103448276,104.172413793103
"Action",1987,16816785.7142857,31490037.1071429,28,5.93928571428571,102.428571428571
"Action",1988,15191304.3478261,45517464.2173913,23,6.45652173913043,101.95652173913
"Action",1989,17202502.2285714,59082378.7714286,35,6.12,106.171428571429
"Action",1990,22809090.9090909,68836833.1515152,33,6.18181818181818,106.484848484848
"Action",1991,25480000,64736257.3333333,30,6.18666666666667,106.766666666667
"Action",1992,21800250,70592802.2857143,28,6.275,102.214285714286
"Action",1993,26620689.6551724,95851888.3103448,29,6.23103448275862,107.620689655172
"Action",1994,33757812.5,85335635.75,32,5.903125,108.28125
"Action",1995,42375000,86005912.6111111,36,6.06388888888889,109.194444444444
"Action",1996,48275862.0689655,136515709.724138,29,5.96551724137931,107.827586206897
"Action",1997,57845227.2727273,119273077.022727,44,5.75909090909091,111.840909090909
"Action",1998,58235294.1176471,111392453.441176,34,6.10882352941176,113.235294117647
"Action",1999,7e+07,175526245.25,24,6.09166666666667,106.791666666667
"Action",2000,59487878.7878788,135206565.30303,33,5.94545454545455,113.818181818182
"Action",2001,56355405.4054054,139128843.594595,37,6.08918918918919,109.027027027027
"Action",2002,57942865.9111111,149595515.066667,45,6.14,108.844444444444
"Action",2003,68653913.0434783,184991378.086957,46,6.18478260869565,114.347826086957
"Action",2004,63543750,135670744.15,40,6.2425,112.675
"Action",2005,67063690.4761905,125634189.547619,42,6.0547619047619,114.857142857143
